Course,Module,Difficulty,Skill_level,Links
DevOps,Introduction to DevOps,Easy,Beginner,
DevOps,Version Control with Git/GitHub,Easy,Beginner,
DevOps,Container Basics with Docker,Easy,Beginner,
DevOps,CI/CD Concepts,Easy,Beginner,
DevOps,Introduction to Scripting for DevOps,Easy,Beginner,
DevOps,Jenkins Pipelines,Medium,Intermediate,
DevOps,Infrastructure as Code (IaC),Medium,Intermediate,
DevOps,Monitoring with Prometheus,Medium,Intermediate,
DevOps,Logging with ELK Stack,Medium,Intermediate,
DevOps,Configuration Management (Ansible),Medium,Intermediate,
DevOps,Advanced Kubernetes Techniques,Hard,Expert,
DevOps,Scalable CI/CD Architecture,Hard,Expert,
DevOps,DevSecOps Principles,Hard,Expert,
DevOps,Site Reliability Engineering (SRE),Hard,Expert,
DevOps,Disaster Recovery in DevOps,Hard,Expert,
DevOps,Multi-Cloud CI/CD Pipelines,M_Expert,Expert,
DevOps,Advanced IaC Patterns with Terraform,M_Expert,Expert,
DevOps,Container Orchestration at Scale,M_Expert,Expert,
DevOps,Security Hardening in DevOps,M_Expert,Expert,
DevOps,Distributed Systems for DevOps,M_Expert,Expert,
AI,Introduction to Artificial Intelligence,Easy,Beginner,https://www.elementsofai.com/
AI,Basic Python for AI,Easy,Beginner,https://youtu.be/5NgNicANyqM?feature=shared
AI,Introduction to Linear Algebra for AI,Easy,Beginner,https://youtu.be/rSjt1E9WHaQ?feature=shared
AI,Overview of AI Applications,Easy,Beginner,https://youtu.be/mEsleV16qdo?feature=shared
AI,History of Artificial Intelligence,Easy,Beginner,https://youtu.be/mSd9nmPM7Vg?feature=shared
AI,Supervised Learning Basics,Medium,Intermediate,https://youtu.be/4qVRBYAdLAo?feature=shared
AI,Unsupervised Learning Fundamentals,Medium,Intermediate,https://youtu.be/D6gtZrsYi6c?feature=shared
AI,Decision Trees and Random Forests,Medium,Intermediate,https://youtu.be/ZOiBe-nrmc4?feature=shared
